match_date,actual_match_id,season_label,season_usage,team_name,opponent_name,win_target,diff_recent_win_rate,diff_maps_played_mean_5,diff_rounds_played_mean_5,diff_total_kills_mean_5,diff_rating_mean_5,diff_adr_mean_5,diff_impact_mean_5,diff_kast_mean_5,diff_kd_mean_5,diff_kills_per_round_mean_5,diff_deaths_per_round_mean_5,diff_assists_per_round_mean_5,diff_headshot_pct_mean_5,diff_saved_by_teammate_per_round_mean_5,diff_utility_damage_per_round_mean_5,diff_flash_assists_per_round_mean_5,diff_utility_kills_per_100_rounds_mean_5,diff_time_opponent_flashed_per_round_mean_5,diff_opening_kills_per_round_mean_5,diff_opening_deaths_per_round_mean_5,diff_opening_success_mean_5,diff_win_after_opening_kill_pct_mean_5,diff_trade_kills_per_round_mean_5,diff_saved_teammate_per_round_mean_5,diff_last_alive_pct_mean_5,diff_one_on_one_win_pct_mean_5,diff_time_alive_per_round_mean_5,diff_rounds_with_a_kill_mean_5,diff_kills_per_round_win_mean_5,diff_damage_per_round_win_mean_5,diff_pistol_round_rating_mean_5,diff_players_count,diff_missing_players,context_is_lan,context_is_bo1,context_is_bo3,context_is_bo5,diff_elo_pre_match
2024-01-09,1185,2024_s1,train,fnatic,HAVU,1,-0.2,28.2,670.8,549.4,0.134,8.34,0.198,2.9,0.164,0.098,-0.026,0.014,2.04,0.008,-0.068,0.014,-0.114,-0.028,0.014,0.002,2.32,6.46,0.01,0.02,0.98,6.5,4.2,3.8,0.066,6.84,0.226,0,0,0,1,0,0,-34.472
2024-01-11,1219,2024_s1,train,Anonymo,PERA,0,-0.267,97.6,2178.8,1437.6,0.0,-2.08,-0.022,1.0,-0.052,-0.028,0.01,-0.01,-1.0,0.02,0.222,0.02,0.166,0.252,0.002,0.006,-0.84,0.06,0.018,0.02,-0.62,-8.22,2.2,-1.58,-0.016,-1.36,-0.126,0,0,0,0,1,0,-83.319
2024-01-11,1226,2024_s1,train,PERA,SINNERS,0,0.133,-30.4,-762.4,-537.4,-0.05,-1.86,-0.03,-0.02,-0.036,-0.008,0.012,0.024,-0.56,0.016,-1.248,-0.006,-0.018,-0.162,-0.006,-0.006,0.7,-1.4,0.002,0.002,-0.26,20.46,-3.4,-0.22,-0.04,-5.6,0.112,0,0,0,1,0,0,56.095
2024-01-13,1245,2024_s1,train,Anonymo,OG,0,0.092,114.6,2512.4,1701.6,0.086,3.69,0.052,3.68,0.103,0.035,-0.039,0.041,-8.72,0.01,0.874,0.01,0.592,0.296,-0.006,-0.01,0.68,3.78,0.018,0.008,-1.0,5.31,0.5,1.9,-0.01,-0.42,0.005,1,-1,0,0,1,0,58.958
2024-01-14,1271,2024_s1,train,Astralis,Ninjas in Pyjamas,1,0.014,-16.2,-349.8,-216.0,0.01,-2.04,-0.008,-0.14,0.004,-0.018,-0.01,-0.008,-1.46,-0.026,0.562,0.0,-0.044,-0.04,0.0,0.006,0.3,4.8,-0.028,-0.022,0.32,13.5,5.6,-1.2,0.01,1.4,0.056,0,0,1,0,1,0,10.144
2024-01-14,1277,2024_s1,train,M80,Nouns,1,0.267,2.4,93.6,64.4,0.02,-0.5,0.008,1.78,0.014,-0.002,-0.016,0.01,3.0,0.012,-0.022,-0.008,-0.264,-0.218,0.0,-0.002,-1.32,2.36,0.012,0.006,-0.18,8.88,3.4,-0.64,-0.022,0.54,0.084,0,0,0,0,1,0,132.118
2024-01-17,1333,2024_s1,train,9z,MIBR,1,-0.445,-11.6,-271.8,-191.2,-0.054,-1.22,-0.018,-3.2,-0.08,-0.014,0.044,0.002,1.4,-0.012,-0.878,0.002,0.244,0.176,0.0,0.004,-1.24,-1.72,-0.006,-0.006,1.8,20.18,-7.4,-0.72,0.02,-0.66,0.13,0,0,0,0,1,0,-149.829
2024-01-17,1337,2024_s1,train,Guild Eagles,Into the Breach,1,0.087,32.2,701.2,329.2,-0.015,-1.41,0.029,-4.78,-0.116,-0.012,0.064,-0.016,6.08,-0.003,0.256,0.01,-0.34,-0.033,-0.001,0.015,-3.87,-1.3,0.007,-0.006,0.98,5.28,-10.45,-1.58,0.022,1.48,-0.071,0,0,0,1,0,0,45.837
2024-01-18,1350,2024_s1,train,3DMAX,Cloud9,0,0.05,21.2,463.8,375.8,0.072,2.34,0.054,3.44,0.104,0.042,-0.02,0.016,2.94,0.018,0.602,0.004,0.05,0.158,0.008,-0.006,3.66,-1.14,0.016,0.016,-0.64,-1.12,-1.2,2.88,0.034,1.7,0.056,0,0,0,1,0,0,16.511
2024-01-18,1352,2024_s1,train,9 Pandas,Natus Vincere,0,0.205,65.4,1515.4,997.0,0.002,-1.14,-0.018,1.36,0.002,-0.01,-0.014,0.004,-0.28,0.012,-0.188,0.006,-0.442,-0.094,-0.004,0.008,-2.2,0.12,0.002,0.006,-0.82,3.26,-0.4,-0.7,-0.036,-1.46,-0.1,0,0,0,1,0,0,101.431
2024-01-18,1354,2024_s1,train,9z,MIBR,1,-0.288,-11.6,-271.8,-191.2,-0.054,-1.22,-0.018,-3.2,-0.08,-0.014,0.044,0.002,1.4,-0.012,-0.878,0.002,0.244,0.176,0.0,0.004,-1.24,-1.72,-0.006,-0.006,1.8,20.18,-7.4,-0.72,0.02,-0.66,0.13,0,0,0,0,1,0,-100.055
2024-01-18,1358,2024_s1,train,Astralis,Preasy,1,-0.369,-55.6,-1205.0,-841.4,-0.088,-5.38,-0.128,-3.22,-0.082,-0.062,0.002,-0.03,-5.74,-0.032,-0.64,0.002,-0.304,0.08,-0.006,0.004,-0.56,2.3,-0.03,-0.026,2.08,16.9,10.2,-3.56,-0.01,3.46,-0.076,0,0,0,1,0,0,-206.205
2024-01-18,1362,2024_s1,train,BetBoom,BIG,1,-0.155,-31.2,-811.4,-582.4,-0.076,-1.46,-0.048,-2.58,-0.134,-0.016,0.06,-0.012,4.3,0.008,-3.33,-0.022,-0.526,-0.144,-0.006,0.002,-2.06,-3.84,0.016,0.004,1.42,-3.18,-12.4,-0.56,0.006,-1.72,-0.174,0,0,0,1,0,0,-113.046
2024-01-18,1365,2024_s1,train,Cloud9,OG,1,0.05,26.0,551.4,378.4,0.084,3.97,0.066,2.6,0.117,0.027,-0.055,0.037,-8.54,-0.004,0.948,0.0,0.414,0.02,-0.012,-0.008,-1.74,8.1,0.002,-0.008,-1.62,12.87,4.9,0.64,-0.026,-1.94,-0.045,1,-1,0,1,0,0,26.951
2024-01-18,1369,2024_s1,train,Eternal Fire,PERA,1,-0.2,-8.8,-135.4,-116.0,-0.008,-1.72,-0.004,-0.3,-0.052,-0.03,0.004,-0.008,0.6,-0.006,0.968,0.01,0.12,0.208,0.006,0.0,1.16,-3.1,-0.006,-0.008,-0.88,-9.34,10.0,-1.74,-0.026,-0.72,-0.204,0,0,0,1,0,0,-45.71
