Match_Date,Season_Label,Season_Usage,Team_ID,Team_Name,Opponent,Team_Score,Opponent_Score,Win,Best_Of,LAN_Online,Match_ID,Match_URL
2026-03-10,2026_s1,holdout,4914,3DMAX,Natus Vincere,1,2,0,bo3,ONLINE,2391131,https://www.hltv.org/matches/2391131/natus-vincere-vs-3dmax-esl-pro-league-season-23-stage-2
2026-03-09,2026_s1,holdout,4914,3DMAX,The MongolZ,1,2,0,bo3,ONLINE,2391125,https://www.hltv.org/matches/2391125/the-mongolz-vs-3dmax-esl-pro-league-season-23-stage-2
2026-03-08,2026_s1,holdout,4914,3DMAX,FUT,2,0,1,bo3,ONLINE,2391120,https://www.hltv.org/matches/2391120/fut-vs-3dmax-esl-pro-league-season-23-stage-2
2026-03-07,2026_s1,holdout,4914,3DMAX,FURIA,2,0,1,bo3,ONLINE,2391116,https://www.hltv.org/matches/2391116/furia-vs-3dmax-esl-pro-league-season-23-stage-2
2026-03-06,2026_s1,holdout,4914,3DMAX,Spirit,0,2,0,bo3,ONLINE,2391103,https://www.hltv.org/matches/2391103/spirit-vs-3dmax-esl-pro-league-season-23-stage-2
2026-03-05,2026_s1,holdout,4914,3DMAX,Liquid,2,0,1,bo3,ONLINE,2391043,https://www.hltv.org/matches/2391043/3dmax-vs-liquid-esl-pro-league-season-23-stage-1
2026-03-04,2026_s1,holdout,4914,3DMAX,Astralis,0,2,0,bo3,ONLINE,2391036,https://www.hltv.org/matches/2391036/3dmax-vs-astralis-esl-pro-league-season-23-stage-1
2026-03-03,2026_s1,holdout,4914,3DMAX,Gaimin Gladiators,2,0,1,bo3,ONLINE,2391031,https://www.hltv.org/matches/2391031/3dmax-vs-gaimin-gladiators-esl-pro-league-season-23-stage-1
2026-03-02,2026_s1,holdout,4914,3DMAX,SemperFi,2,0,1,bo3,ONLINE,2391022,https://www.hltv.org/matches/2391022/3dmax-vs-semperfi-esl-pro-league-season-23-stage-1
2026-03-01,2026_s1,holdout,4914,3DMAX,paiN,1,2,0,bo3,ONLINE,2391018,https://www.hltv.org/matches/2391018/3dmax-vs-pain-esl-pro-league-season-23-stage-1
2026-02-16,2026_s1,holdout,4914,3DMAX,HEROIC,0,2,0,bo3,LAN,2389968,https://www.hltv.org/matches/2389968/3dmax-vs-heroic-pgl-cluj-napoca-2026
2026-02-15,2026_s1,holdout,4914,3DMAX,Astralis,0,2,0,bo3,LAN,2389956,https://www.hltv.org/matches/2389956/3dmax-vs-astralis-pgl-cluj-napoca-2026
2026-02-14,2026_s1,holdout,4914,3DMAX,Falcons,0,2,0,bo3,LAN,2389952,https://www.hltv.org/matches/2389952/falcons-vs-3dmax-pgl-cluj-napoca-2026
2026-02-06,2026_s1,holdout,4914,3DMAX,M1X KS,1,2,0,bo3,ONLINE,2389940,https://www.hltv.org/matches/2389940/3dmax-vs-m1x-ks-res-showdown-3-blast-premier-rising-event
2026-02-03,2026_s1,holdout,4914,3DMAX,Falcons,0,2,0,bo3,LAN,2389656,https://www.hltv.org/matches/2389656/3dmax-vs-falcons-iem-krakw-2026
2026-02-02,2026_s1,holdout,4914,3DMAX,Vitality,0,2,0,bo3,LAN,2389649,https://www.hltv.org/matches/2389649/3dmax-vs-vitality-iem-krakw-2026
2026-01-31,2026_s1,holdout,4914,3DMAX,FaZe,2,0,1,bo3,LAN,2389642,https://www.hltv.org/matches/2389642/faze-vs-3dmax-iem-krakw-2026
2026-01-29,2026_s1,holdout,4914,3DMAX,BC.Game,2,0,1,bo3,LAN,2389627,https://www.hltv.org/matches/2389627/bcgame-vs-3dmax-iem-krakw-2026-stage-1
2026-01-28,2026_s1,holdout,4914,3DMAX,FUT,2,1,1,bo3,LAN,2389474,https://www.hltv.org/matches/2389474/fut-vs-3dmax-iem-krakw-2026-stage-1
2026-01-15,2026_s1,holdout,4914,3DMAX,Inner Circle,1,2,0,bo3,ONLINE,2389259,https://www.hltv.org/matches/2389259/inner-circle-vs-3dmax-blast-bounty-2026-season-1
2025-12-06,2025_s2,train,4914,3DMAX,FaZe,0,2,0,bo3,LAN,2388120,https://www.hltv.org/matches/2388120/3dmax-vs-faze-starladder-budapest-major-2025
2025-12-05,2025_s2,train,4914,3DMAX,PARIVISION,2,1,1,bo3,LAN,2388114,https://www.hltv.org/matches/2388114/parivision-vs-3dmax-starladder-budapest-major-2025
2025-12-04,2025_s2,train,4914,3DMAX,Vitality,4,13,0,bo1,LAN,2388100,https://www.hltv.org/matches/2388100/3dmax-vs-vitality-starladder-budapest-major-2025
2025-12-04,2025_s2,train,4914,3DMAX,paiN,10,13,0,bo1,LAN,2388096,https://www.hltv.org/matches/2388096/pain-vs-3dmax-starladder-budapest-major-2025
2025-12-02,2025_s2,train,4914,3DMAX,Ninjas in Pyjamas,2,0,1,bo3,LAN,2388090,https://www.hltv.org/matches/2388090/ninjas-in-pyjamas-vs-3dmax-starladder-budapest-major-2025-stage-2
2025-12-01,2025_s2,train,4914,3DMAX,B8,1,2,0,bo3,LAN,2388086,https://www.hltv.org/matches/2388086/b8-vs-3dmax-starladder-budapest-major-2025-stage-2
2025-11-30,2025_s2,train,4914,3DMAX,Passion UA,13,3,1,bo1,LAN,2388074,https://www.hltv.org/matches/2388074/passion-ua-vs-3dmax-starladder-budapest-major-2025-stage-2
2025-11-29,2025_s2,train,4914,3DMAX,FlyQuest,13,7,1,bo1,LAN,2388067,https://www.hltv.org/matches/2388067/flyquest-vs-3dmax-starladder-budapest-major-2025-stage-2
2025-11-29,2025_s2,train,4914,3DMAX,fnatic,6,13,0,bo1,LAN,2388059,https://www.hltv.org/matches/2388059/3dmax-vs-fnatic-starladder-budapest-major-2025-stage-2
2025-11-04,2025_s2,train,4914,3DMAX,Lynn Vision,1,2,0,bo3,LAN,2387394,https://www.hltv.org/matches/2387394/lynn-vision-vs-3dmax-iem-chengdu-2025
2025-11-03,2025_s2,train,4914,3DMAX,G2,0,2,0,bo3,LAN,2387384,https://www.hltv.org/matches/2387384/g2-vs-3dmax-iem-chengdu-2025
2025-10-29,2025_s2,train,4914,3DMAX,Astralis,0,2,0,bo3,LAN,2387337,https://www.hltv.org/matches/2387337/3dmax-vs-astralis-pgl-masters-bucharest-2025
2025-10-28,2025_s2,train,4914,3DMAX,FlyQuest,1,2,0,bo3,LAN,2387331,https://www.hltv.org/matches/2387331/3dmax-vs-flyquest-pgl-masters-bucharest-2025
2025-10-27,2025_s2,train,4914,3DMAX,B8,0,2,0,bo3,LAN,2387326,https://www.hltv.org/matches/2387326/3dmax-vs-b8-pgl-masters-bucharest-2025
2025-10-26,2025_s2,train,4914,3DMAX,SAW,2,0,1,bo3,LAN,2387102,https://www.hltv.org/matches/2387102/3dmax-vs-saw-pgl-masters-bucharest-2025
2025-10-19,2025_s2,train,4914,3DMAX,Legacy,2,3,0,bo5,LAN,2386848,https://www.hltv.org/matches/2386848/3dmax-vs-legacy-cs-asia-championships-2025
2025-10-18,2025_s2,train,4914,3DMAX,Liquid,2,1,1,bo3,LAN,2386845,https://www.hltv.org/matches/2386845/liquid-vs-3dmax-cs-asia-championships-2025
2025-10-17,2025_s2,train,4914,3DMAX,fnatic,2,1,1,bo3,LAN,2386843,https://www.hltv.org/matches/2386843/fnatic-vs-3dmax-cs-asia-championships-2025
2025-10-16,2025_s2,train,4914,3DMAX,Virtus.pro,2,1,1,bo3,LAN,2386834,https://www.hltv.org/matches/2386834/virtuspro-vs-3dmax-cs-asia-championships-2025
2025-10-15,2025_s2,train,4914,3DMAX,Lynn Vision,2,0,1,bo3,LAN,2386832,https://www.hltv.org/matches/2386832/lynn-vision-vs-3dmax-cs-asia-championships-2025
2025-10-14,2025_s2,train,4914,3DMAX,Legacy,1,2,0,bo3,LAN,2386829,https://www.hltv.org/matches/2386829/3dmax-vs-legacy-cs-asia-championships-2025
2025-10-14,2025_s2,train,4914,3DMAX,The Huns,13,1,1,bo1,LAN,2386819,https://www.hltv.org/matches/2386819/3dmax-vs-the-huns-cs-asia-championships-2025
2025-10-10,2025_s2,train,4914,3DMAX,Falcons,1,2,0,bo3,LAN,2385963,https://www.hltv.org/matches/2385963/3dmax-vs-falcons-esl-pro-league-season-22
2025-10-08,2025_s2,train,4914,3DMAX,G2,2,0,1,bo3,LAN,2385961,https://www.hltv.org/matches/2385961/g2-vs-3dmax-esl-pro-league-season-22
2025-10-07,2025_s2,train,4914,3DMAX,MOUZ,0,2,0,bo3,LAN,2385956,https://www.hltv.org/matches/2385956/3dmax-vs-mouz-esl-pro-league-season-22
2025-10-06,2025_s2,train,4914,3DMAX,Natus Vincere,2,1,1,bo3,LAN,2385948,https://www.hltv.org/matches/2385948/3dmax-vs-natus-vincere-esl-pro-league-season-22
2025-10-05,2025_s2,train,4914,3DMAX,FaZe,2,0,1,bo3,LAN,2385944,https://www.hltv.org/matches/2385944/faze-vs-3dmax-esl-pro-league-season-22
2025-10-04,2025_s2,train,4914,3DMAX,FURIA,0,2,0,bo3,LAN,2385937,https://www.hltv.org/matches/2385937/furia-vs-3dmax-esl-pro-league-season-22
2025-10-01,2025_s2,train,4914,3DMAX,ENCE,2,1,1,bo3,LAN,2385924,https://www.hltv.org/matches/2385924/3dmax-vs-ence-esl-pro-league-season-22-stage-1
2025-09-30,2025_s2,train,4914,3DMAX,HEROIC,2,0,1,bo3,LAN,2385919,https://www.hltv.org/matches/2385919/heroic-vs-3dmax-esl-pro-league-season-22-stage-1
2025-09-29,2025_s2,train,4914,3DMAX,Rooster,2,0,1,bo3,LAN,2385906,https://www.hltv.org/matches/2385906/3dmax-vs-rooster-esl-pro-league-season-22-stage-1
2025-09-28,2025_s2,train,4914,3DMAX,Inner Circle,1,2,0,bo3,LAN,2385900,https://www.hltv.org/matches/2385900/3dmax-vs-inner-circle-esl-pro-league-season-22-stage-1
2025-09-16,2025_s2,train,4914,3DMAX,Virtus.pro,1,2,0,bo3,LAN,2385315,https://www.hltv.org/matches/2385315/3dmax-vs-virtuspro-fissure-playground-2
2025-09-15,2025_s2,train,4914,3DMAX,GamerLegion,1,2,0,bo3,LAN,2385308,https://www.hltv.org/matches/2385308/3dmax-vs-gamerlegion-fissure-playground-2
2025-09-14,2025_s2,train,4914,3DMAX,FaZe,1,2,0,bo3,LAN,2385298,https://www.hltv.org/matches/2385298/3dmax-vs-faze-fissure-playground-2
2025-09-12,2025_s2,train,4914,3DMAX,The MongolZ,2,1,1,bo3,LAN,2385291,https://www.hltv.org/matches/2385291/the-mongolz-vs-3dmax-fissure-playground-2
2025-08-31,2025_s2,train,4914,3DMAX,TYLOO,2,0,1,bo3,LAN,2384969,https://www.hltv.org/matches/2384969/3dmax-vs-tyloo-perfect-world-cs-challenge-series-1
2025-08-29,2025_s2,train,4914,3DMAX,TYLOO,2,1,1,bo3,LAN,2384964,https://www.hltv.org/matches/2384964/3dmax-vs-tyloo-perfect-world-cs-challenge-series-1
2025-08-29,2025_s2,train,4914,3DMAX,Lynn Vision,2,0,1,bo3,LAN,2384962,https://www.hltv.org/matches/2384962/3dmax-vs-lynn-vision-perfect-world-cs-challenge-series-1
